# query_id num_block_accesses num_unique_blocks latency_us
649 1968 564 315531
650 1673 600 284078
651 1624 580 278193
652 1747 542 282397
653 1695 514 257253
654 1653 573 273585
655 1654 560 263691
656 1698 449 250097
657 1819 498 262835
658 1717 468 254276
659 1653 453 231047
660 1850 620 320877
661 1975 522 314221
662 1861 517 293647
663 2116 591 349525
664 1643 513 248738
665 1973 545 319856
666 1720 519 288658
667 1520 464 223658
668 2076 595 350350
669 1539 469 241170
670 1889 582 306041
671 1672 559 291522
672 2302 597 359182
673 1661 513 265974
674 1579 488 232540
675 1553 478 247527
676 1547 506 236881
677 1602 463 232545
678 2156 550 316767
679 1687 444 243389
680 1612 519 259719
681 1767 557 294958
682 2064 602 332894
683 1475 492 235868
684 1694 522 278517
685 2163 635 350604
686 2231 583 346539
687 1613 459 218587
688 1844 550 294785
689 2087 575 344894
690 1705 481 257466
691 1918 518 289608
692 1787 556 297846
693 1769 554 299628
694 1636 495 245510
695 1692 547 264974
696 1849 536 285852
697 1724 606 302324
698 1716 522 258530
699 1907 587 304697
700 1931 652 334136
