# query_id num_block_accesses num_unique_blocks latency_us
737 1611 500 5428
738 2369 527 7157
739 2778 718 8686
740 1721 513 5848
741 1591 566 8378
742 1963 581 6596
743 1788 553 6233
744 1533 483 5580
745 1662 453 5489
746 2023 529 6308
747 1525 495 5267
748 1556 492 5320
749 2010 581 6432
750 1994 584 6415
751 1791 609 6000
752 1491 485 7504
753 1935 535 6426
754 1532 563 5556
755 1605 482 5509
756 1633 496 5568
757 1554 569 5501
758 1500 516 5027
759 1572 513 5150
760 1835 545 5928
761 1662 560 5504
762 1775 580 5963
763 1583 531 5698
764 1539 509 5449
765 2057 560 6783
766 1891 523 6295
767 1670 523 5590
768 1517 483 5015
769 1957 570 6182
770 1708 514 5544
771 1732 521 5703
772 1748 469 5440
773 1879 541 6132
774 1843 542 6300
775 1578 475 5372
776 1966 598 6692
777 1727 483 5644
778 1580 463 5292
779 1743 460 5705
780 1574 467 5495
781 1463 518 11000
782 1595 482 5677
783 1900 554 6349
784 1628 542 7652
785 1651 527 5808
786 1630 477 5498
787 2120 582 7019
788 1643 536 5681
789 1923 518 6035
790 1629 512 5525
791 1595 499 5227
792 1667 569 5704
793 1982 568 6236
794 1664 477 5687
795 1841 475 5905
796 1504 549 5395
797 1745 529 6008
798 1630 545 5600
799 2375 577 7587
800 1619 504 5490
801 1600 569 5492
802 1654 538 5441
803 1534 515 11075
804 1501 547 5656
805 1571 531 5509
806 1654 501 5715
807 1595 539 7631
808 1781 572 6027
809 1681 554 5587
810 1685 528 5551
811 2061 535 6378
812 1572 569 5335
813 1789 507 5597
814 1951 518 6071
815 1883 481 6322
816 1606 530 5492
817 1673 548 6033
818 1916 591 6760
819 1583 512 5501
820 1695 536 5640
821 2190 672 7324
822 2392 662 7692
823 1588 496 5373
824 1586 498 5375
825 1839 541 6001
826 1528 548 5396
827 1471 474 5179
828 1908 594 6479
829 1946 525 6300
830 1464 464 5059
831 1823 611 12373
832 1817 588 6129
833 1844 515 5936
834 1425 528 4988
835 1740 515 6010
836 2176 609 7189
837 1835 514 6132
838 1676 506 5798
839 1804 547 6044
840 1845 556 8309
841 1802 556 5874
842 1984 485 6282
843 1708 511 5815
844 1727 563 8913
845 1492 469 5192
846 1614 435 5158
847 1552 507 5425
848 1841 499 6165
849 1712 506 5756
850 1855 423 5605
851 1602 598 5529
852 1866 495 6014
853 1536 551 5292
854 1532 526 5068
855 2001 536 6238
856 1963 501 6338
857 1766 520 6026
858 2060 568 7123
859 2016 609 13089
860 1550 495 9925
861 2111 648 9219
862 1995 594 6576
863 1533 510 5170
864 1588 459 5194
865 2001 547 6540
866 1550 543 5601
867 1584 539 5849
868 2076 599 6686
869 1950 527 6399
870 1772 606 8185
871 1922 559 6376
872 1988 625 6498
873 1572 545 5403
874 1604 491 5375
875 1501 464 5017
876 1848 545 6091
877 1889 559 6396
878 1576 466 5284
879 1960 540 6292
880 1564 539 5385
881 1700 561 5777
882 1525 486 5191
883 1751 555 5847
884 1574 467 5257
885 1869 582 6197
886 2225 515 7186
887 2347 612 7733
888 1828 543 6276
889 1880 484 6169
890 1931 582 6498
891 1605 484 5272
892 1781 529 5744
893 1552 450 5177
894 1785 531 5883
895 2083 594 6543
896 2073 554 6790
897 1800 472 5810
898 1521 457 5290
899 1764 459 5678
900 1989 574 6468
901 1664 482 5556
902 1684 579 5873
903 1702 536 5594
904 1789 545 5821
905 1626 576 5554
906 2096 567 6756
907 1788 466 5943
908 1698 520 5963
909 1886 499 12055
910 1690 482 5857
911 1507 501 5287
912 1570 422 5228
913 1537 498 5129
914 1783 558 5949
915 1582 475 5377
916 1869 586 6248
917 1546 513 5501
918 1705 587 5923
919 1956 608 6786
920 1912 534 6347
921 1557 447 5088
922 1664 488 5361
923 1718 485 5527
924 1927 620 6352
925 1697 575 5712
926 1848 604 6064
927 1518 481 5332
928 2059 573 6746
929 1516 502 5435
930 2069 606 6871
931 1661 539 5532
932 2010 512 6856
933 1661 484 5208
934 1603 468 5198
935 1685 603 5759
936 2049 553 6569
937 1563 485 5162
938 1523 452 5272
939 1523 411 4900
940 1585 511 5701
941 1822 573 6315
942 1946 529 6286
943 1763 595 5906
944 1994 576 6562
945 1704 510 5569
946 1701 559 5747
947 1719 505 5442
948 1636 539 5569
949 1508 541 5390
950 1699 371 4958
